Score, Hidden_nodes, Epochs, Learning_rate
0.98889, 200, 60, 0.15000
0.98889, 200, 60, 0.12000
0.98889, 200, 60, 0.05000
0.98889, 200, 60, 0.08000
0.98889, 250, 60, 0.12000
0.98889, 250, 60, 0.15000
0.98889, 250, 60, 0.05000
0.98889, 250, 60, 0.08000
0.98889, 200, 85, 0.15000
0.98889, 200, 85, 0.12000
0.98889, 200, 85, 0.05000
0.98889, 200, 85, 0.08000
0.98889, 300, 60, 0.15000
0.98889, 300, 60, 0.08000
0.98889, 300, 60, 0.05000
0.98889, 300, 60, 0.12000
0.98889, 200, 100, 0.15000
0.98889, 200, 100, 0.12000
0.98889, 200, 100, 0.08000
0.98889, 200, 100, 0.05000
0.98889, 350, 60, 0.05000
0.98889, 350, 60, 0.15000
0.98889, 350, 60, 0.12000
0.98889, 350, 60, 0.08000
0.98889, 250, 85, 0.12000
0.98889, 250, 85, 0.05000
0.98889, 250, 85, 0.15000
0.98889, 250, 85, 0.08000
0.98889, 200, 125, 0.15000
0.98889, 200, 125, 0.12000
0.98889, 200, 125, 0.08000
0.98889, 200, 125, 0.05000
0.98889, 250, 100, 0.12000
0.98889, 250, 100, 0.15000
0.98889, 250, 100, 0.05000
0.98889, 250, 100, 0.08000
0.98889, 300, 85, 0.15000
0.98889, 300, 85, 0.08000
0.98889, 300, 85, 0.05000
0.98889, 300, 85, 0.12000
0.98889, 350, 85, 0.05000
0.98889, 350, 85, 0.15000
0.98889, 350, 85, 0.12000
0.98889, 300, 100, 0.15000
0.98889, 300, 100, 0.08000
0.98889, 350, 85, 0.08000
0.98889, 300, 100, 0.05000
0.98889, 300, 100, 0.12000
0.98889, 250, 125, 0.12000
0.98889, 250, 125, 0.05000
0.98889, 250, 125, 0.15000
0.98889, 250, 125, 0.08000
0.98889, 350, 100, 0.05000
0.98889, 350, 100, 0.15000
0.98889, 350, 100, 0.12000
0.98889, 350, 100, 0.08000
0.98889, 300, 125, 0.15000
0.98889, 300, 125, 0.08000
0.98889, 300, 125, 0.05000
0.98889, 300, 125, 0.12000
0.98889, 350, 125, 0.05000
0.98889, 350, 125, 0.15000
0.98889, 350, 125, 0.12000
0.98889, 350, 125, 0.08000
